,precision,recall,f1-score,support
0,0.5187601957585645,0.7082405345211581,0.5988700564971752,449.0
1,0.8840125391849529,0.6280623608017817,0.734375,449.0
2,0.7677725118483413,0.7216035634743875,0.7439724454649828,449.0
3,0.6508379888268156,0.5189309576837416,0.5774473358116481,449.0
4,0.5254237288135594,0.13777777777777778,0.21830985915492956,450.0
5,0.7590618336886994,0.7928730512249443,0.775599128540305,449.0
6,0.49038461538461536,0.34075723830734966,0.4021024967148489,449.0
7,0.5152,0.7171492204899778,0.5996275605214153,449.0
8,0.6331658291457286,0.8418708240534521,0.722753346080306,449.0
9,0.7598784194528876,0.5567928730512249,0.6426735218508998,449.0
10,0.873015873015873,0.8574610244988864,0.8651685393258427,449.0
11,0.8032786885245902,0.6547884187082406,0.7214723926380369,449.0
12,0.9083333333333333,0.9710467706013363,0.9386437029063509,449.0
13,0.7672064777327935,0.844097995545657,0.8038176033934252,449.0
14,0.6244274809160305,0.910913140311804,0.7409420289855072,449.0
15,0.46283783783783783,0.3051224944320713,0.36778523489932885,449.0
16,0.6761133603238867,0.7422222222222222,0.7076271186440678,450.0
17,0.8353658536585366,0.6088888888888889,0.7043701799485861,450.0
18,0.4584717607973422,0.6146993318485523,0.5252140818268316,449.0
19,0.9655913978494624,1.0,0.9824945295404814,449.0
20,0.3125,0.066815144766147,0.11009174311926606,449.0
21,0.6136986301369863,0.49888641425389757,0.5503685503685504,449.0
22,0.7835365853658537,0.5723830734966593,0.6615186615186616,449.0
23,0.5551401869158878,0.6614699331848553,0.6036585365853658,449.0
24,0.4072769953051643,0.7728285077951003,0.5334358186010761,449.0
25,0.6286407766990292,0.576837416481069,0.6016260162601627,449.0
26,0.8701550387596899,1.0,0.9305699481865285,449.0
27,0.2851351351351351,0.4688888888888889,0.3546218487394958,450.0
28,0.7420382165605095,0.5177777777777778,0.6099476439790575,450.0
29,0.5675,0.5055679287305123,0.5347467608951708,449.0
30,0.648854961832061,0.9465478841870824,0.769927536231884,449.0
31,0.5281173594132029,0.96,0.6813880126182965,450.0
32,0.8436018957345972,0.39643652561247217,0.5393939393939394,449.0
33,0.8465608465608465,0.35634743875278396,0.5015673981191222,449.0
34,0.543448275862069,0.8775055679287305,0.6712095400340715,449.0
35,0.7445652173913043,0.3051224944320713,0.43285939968404424,449.0
36,0.8097826086956522,0.33111111111111113,0.47003154574132494,450.0
37,0.49441340782122906,0.7884187082405345,0.607725321888412,449.0
38,0.7414383561643836,0.9622222222222222,0.8375241779497099,450.0
39,0.8907103825136612,0.3622222222222222,0.5150078988941548,450.0
40,0.6184573002754821,1.0,0.7642553191489362,449.0
41,0.7435897435897436,0.5812917594654788,0.6525,449.0
accuracy,0.642391477182382,0.642391477182382,0.642391477182382,0.642391477182382
macro avg,0.6690071820672939,0.6424280882855493,0.6263628995405286,18867.0
weighted avg,0.6690078743004348,0.642391477182382,0.6263343609381967,18867.0
0,0.8547945205479452,0.6948775055679287,0.7665847665847666,449.0
1,0.8630952380952381,0.9688195991091314,0.912906610703043,449.0
2,0.8300492610837439,0.7505567928730512,0.7883040935672515,449.0
3,0.7960339943342776,0.6258351893095768,0.7007481296758105,449.0
4,0.7945205479452054,0.1288888888888889,0.22179732313575526,450.0
5,0.7460595446584939,0.9487750556792873,0.8352941176470589,449.0
6,0.8259109311740891,0.45434298440979953,0.5862068965517241,449.0
7,0.5895061728395061,0.8507795100222717,0.6964448495897904,449.0
8,0.7474226804123711,0.9688195991091314,0.8438409311348206,449.0
9,0.8502824858757062,0.6703786191536748,0.7496886674968867,449.0
10,0.9432773109243697,1.0,0.9708108108108108,449.0
11,0.8854961832061069,0.7750556792873051,0.8266033254156769,449.0
12,0.9691629955947136,0.9799554565701559,0.9745293466223699,449.0
13,0.8942115768463074,0.9977728285077951,0.9431578947368421,449.0
14,0.7662337662337663,0.9198218262806236,0.8360323886639676,449.0
15,0.5911330049261084,0.534521158129176,0.5614035087719298,449.0
16,0.74609375,0.8488888888888889,0.7941787941787942,450.0
17,0.6377295492487479,0.8488888888888889,0.7283126787416587,450.0
18,0.8198198198198198,0.6080178173719376,0.6982097186700768,449.0
19,0.9868131868131869,1.0,0.9933628318584071,449.0
20,0.5551839464882943,0.36971046770601335,0.44385026737967914,449.0
21,0.5741056218057922,0.7505567928730512,0.6505791505791506,449.0
22,0.6945996275605214,0.8307349665924276,0.7565922920892495,449.0
23,0.8557919621749409,0.8062360801781737,0.8302752293577982,449.0
24,0.7348643006263048,0.7839643652561247,0.7586206896551724,449.0
25,0.7972027972027972,0.5077951002227171,0.6204081632653061,449.0
26,0.9371069182389937,0.9955456570155902,0.9654427645788337,449.0
27,0.5032822757111597,0.5111111111111111,0.5071664829106945,450.0
28,0.7111716621253406,0.58,0.6389228886168911,450.0
29,0.5592948717948718,0.77728285077951,0.6505125815470643,449.0
30,0.9712230215827338,0.9020044543429844,0.9353348729792148,449.0
31,0.8888888888888888,0.9066666666666666,0.8976897689768977,450.0
32,0.9157894736842105,0.5812917594654788,0.7111716621253406,449.0
33,0.7450271247739603,0.9175946547884187,0.8223552894211577,449.0
34,0.8199566160520607,0.8418708240534521,0.8307692307692308,449.0
35,0.8553615960099751,0.7639198218262806,0.8070588235294117,449.0
36,0.8876146788990825,0.86,0.873589164785553,450.0
37,0.678373382624769,0.8173719376391982,0.7414141414141414,449.0
38,0.878727634194831,0.9822222222222222,0.9275970619097587,450.0
39,0.8116504854368932,0.9288888888888889,0.8663212435233161,450.0
40,0.9760869565217392,1.0,0.9878987898789879,449.0
